Sonde serial number                          	N4620333
Balloon release date and time                	2020-11-09T03:21:03
Sonde type                                   	RS41-SGP

   n AscRate HeightMSL      P Temp    RH  Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa   °C     %    °C   °   m/s     K         °          °  g/kg       m      °
   1     0.0        17 1023.0 20.7  73.0  15.7  70   1.6 295.8 25.014271 121.539413 11.01       0      0
   2    29.7        50 1019.1 20.3  75.3  15.8  69   1.7 295.4 25.014425 121.539210 11.13       6    178
   3     6.6        57 1018.3 20.1  75.7  15.7  68   1.9 295.2 25.014489 121.539094 11.04      11    208
   4     1.9        58 1018.1 19.9  75.5  15.5  68   2.0 295.0 25.014502 121.539021 10.92      15    220
   5     2.0        61 1017.9 19.9  75.6  15.4  68   2.2 295.0 25.014492 121.538967 10.89      20    229
   6     4.1        65 1017.4 19.8  75.6  15.4  67   2.3 294.9 25.014480 121.538922 10.85      24    236
   7     4.5        69 1016.7 19.8  75.4  15.3  67   2.5 294.9 25.014477 121.538877 10.81      28    242
   8     4.6        74 1016.1 19.8  75.3  15.3  67   2.7 294.8 25.014485 121.538831 10.79      32    248
   9     5.9        80 1015.4 19.7  75.4  15.2  67   2.9 294.8 25.014495 121.538794 10.77      35    252
  10     5.6        85 1014.8 19.7  75.6  15.2  67   3.0 294.7 25.014492 121.538782 10.78      36    252
  11     7.5        93 1014.1 19.6  75.8  15.2  67   3.2 294.7 25.014465 121.538793 10.79      36    247
  12     5.8        98 1013.3 19.5  76.0  15.2  67   3.4 294.6 25.014418 121.538808 10.77      38    239
  13     7.0       105 1012.5 19.5  76.2  15.2  67   3.6 294.5 25.014361 121.538800 10.74      42    232
  14     7.0       112 1011.8 19.4  76.3  15.1  67   3.8 294.4 25.014314 121.538760 10.71      48    230
  15     6.5       119 1010.9 19.3  76.5  15.1  68   4.0 294.3 25.014290 121.538701 10.68      54    232
  16     7.9       127 1010.1 19.2  76.8  15.0  68   4.2 294.2 25.014290 121.538647 10.65      59    235
  17     6.3       133 1009.3 19.1  77.0  15.0  68   4.4 294.1 25.014297 121.538616 10.64      61    237
  18     7.3       140 1008.5 19.1  77.1  15.0  68   4.7 294.1 25.014290 121.538605 10.63      62    237
  19     6.6       147 1007.7 18.9  77.2  14.8  68   4.9 293.9 25.014259 121.538599 10.56      65    235
  20     7.1       154 1006.9 18.7  77.6  14.7  69   5.1 293.7 25.014211 121.538575 10.49      70    233
  21     8.8       163 1006.1 18.6  77.9  14.7  69   5.3 293.6 25.014171 121.538531 10.47      76    232
  22     6.7       170 1005.4 18.5  78.2  14.7  69   5.5 293.5 25.014160 121.538474 10.46      81    234
  23     4.6       174 1004.7 18.5  78.6  14.7  70   5.7 293.5 25.014183 121.538411 10.48      85    238
  24     4.5       179 1004.1 18.4  79.2  14.7  70   6.0 293.4 25.014227 121.538349 10.52      88    243
  25     5.6       184 1003.5 18.3  79.6  14.7  70   6.2 293.4 25.014269 121.538290 10.53      92    247
