D 0000  001.20 001.20
D 0020  040.55 033.00
D 0040  040.25 060.60
D 0050  042.95 061.05
D 0060  044.35 062.70
D 0070  046.40 060.50
D 0080  043.70 057.70
D 0090  042.95 054.75
D 0100  043.05 051.75
D 0130  045.70 049.85
D 0150  052.50 054.40
D 0200  087.50 066.80
D 0210  105.30 066.80
D 0230  122.20 066.60
D 0240  125.40 062.75
D 0250  130.45 062.75
D 0260  134.35 063.25
D 0290  141.20 063.65
D 0310  150.30 063.50
D 0360  163.75 063.85
D 0370  163.80 062.90
D 0380  165.15 062.45
E 0390  166.55 062.80 
